Move,Monster
Critical AP,Sharktanker
Critical AP,Shining Kuneko
Critical AP,Sirenade
Critical AP,Skelevangelist
Critical AP,Smogmagog
Critical AP,Snoopin
Critical AP,Southpaw
Critical AP,Sparktan
Critical AP,Spirouette
Critical AP,Spitzfyre
Critical AP,Spooki-onna
Critical AP,Springheel
Critical AP,Squirey
Critical AP,Stardigrade
Critical AP,Terracooka
Critical AP,Thwackalope
Critical AP,Tokusect
Critical AP,Traffikrab
Critical AP,Trapwurm
Critical AP,Triphinx
Critical AP,Twirligig
Critical AP,Umbrahella
Critical AP,Undyin
Critical AP,Velocirifle
Critical AP,Vendemon
Critical AP,Weevilite
Critical AP,Wingloom
Critical AP,Wooltergeist
Critical AP,Wyrmaw
Critical AP,Zeustrike
Critical AP,Zombleat
Critical Mass,Allseer
Critical Mass,Flapwoods
Critical Mass,Galagor
Critical Mass,Gearyu
Critical Mass,Khufo
Critical Mass,Majortom
Critical Mass,Minortom
Critical Mass,Smogmagog
Critical Mass,Triphinx
Criticise,Adeptile
Criticise,Aeroboros
Criticise,Allseer
Criticise,Amphare
Criticise,Anathema
Criticise,Apocrowlypse
Criticise,Arkidd
Criticise,Artillerex
Criticise,Auriclaw
Criticise,Averevoir
Criticise,Bansheep
Criticise,Beanstalker
Criticise,Binterloper
Criticise,Binvader
Criticise,Blossomaw
Criticise,Blunderbusk
Criticise,Boltam
Criticise,Braxsuit
Criticise,Brushroom
Criticise,Bulletino
Criticise,Burnace
Criticise,Busheye
Criticise,Candevil
Criticise,Capricorpse
Criticise,Carniviper
Criticise,Cat-5
Criticise,Charlequin
Criticise,Clocksley
Criticise,Cluckabilly
Criticise,Coaldron
Criticise,Cryoshear
Criticise,Dandylion
Criticise,Decibelle
Criticise,Diveal
Criticise,Diveberg
Criticise,Djinn Entonic
Criticise,Dominoth
Criticise,Draculeaf
Criticise,Elfless
Criticise,Faerious
Criticise,Faucetear
Criticise,Ferriclaw
Criticise,Flapwoods
Criticise,Folklord
Criticise,Fortiwinx
Criticise,Fountess
Criticise,Fragliacci
Criticise,Frillypad
Criticise,Fungogh
Criticise,Galagor
Criticise,Gearyu
Criticise,Glaistain
Criticise,Grampus
Criticise,Gumbaal
Criticise,Hauntome
Criticise,Hedgeherne
Criticise,Hopskin
Criticise,Huntorch
Criticise,Icepeck
Criticise,Jellyton
Criticise,Jormungold
Criticise,Jumpkin
Criticise,Khepri
Criticise,Khufo
Criticise,Kingrave
Criticise,Kirikuri
Criticise,Kittelly
Criticise,Kuneko
Criticise,Lapacitor
Criticise,Liligator
Criticise,Littlered
Criticise,Lobstacle
Criticise,Macabra
Criticise,Magikrab
Criticise,Majortom
Criticise,Malchemy
Criticise,Manispear
Criticise,Mardiusa
Criticise,Mascotorn
Criticise,Mascotoy
Criticise,Masquerattle
Criticise,Miasmodeus
Criticise,Minortom
Criticise,Miss Mimic
Criticise,Mothmanic
Criticise,Muskrateer
Criticise,Nevermort
Criticise,Padpole
Criticise,Palangolin
Criticise,Pawndead
Criticise,Picksie
Criticise,Pinbolt
Criticise,Plasmantler
Criticise,Pombomb
Criticise,Pondwalker
Criticise,Puppercut
Criticise,Pyromeleon
Criticise,Queenyx
Criticise,Ramtasm
Criticise,Ratcousel
Criticise,Regensea
Criticise,Ripterra
Criticise,Robindam
Criticise,Rockertrice
Criticise,Rosehood
Criticise,Salamagus
Criticise,Sanzatime
Criticise,Scampire
Criticise,Scarleteeth
Criticise,Scubalrus
Criticise,Sharktanker
Criticise,Shining Kuneko
Criticise,Sirenade
Criticise,Skelevangelist
Criticise,Smogmagog
Criticise,Snoopin
Criticise,Southpaw
Criticise,Sparktan
Criticise,Spirouette
Criticise,Spitzfyre
Criticise,Spooki-onna
Criticise,Springheel
Criticise,Squirey
Criticise,Stardigrade
Criticise,Terracooka
Criticise,Thwackalope
Criticise,Tokusect
Criticise,Traffikrab
Criticise,Trapwurm
Criticise,Triphinx
Criticise,Twirligig
Criticise,Umbrahella
Criticise,Undyin
Criticise,Velocirifle
Criticise,Vendemon
Criticise,Weevilite
Criticise,Wingloom
Criticise,Wooltergeist
Criticise,Wyrmaw
Criticise,Zeustrike
Criticise,Zombleat
Crossfade,Adeptile
Crossfade,Aeroboros
Crossfade,Allseer
Crossfade,Amphare
Crossfade,Anathema
Crossfade,Apocrowlypse
Crossfade,Arkidd
Crossfade,Artillerex
Crossfade,Auriclaw
Crossfade,Averevoir
Crossfade,Bansheep
Crossfade,Beanstalker
Crossfade,Binterloper
Crossfade,Binvader
Crossfade,Blossomaw
Crossfade,Blunderbusk
Crossfade,Boltam
Crossfade,Braxsuit
Crossfade,Brushroom
Crossfade,Bulletino
Crossfade,Burnace
Crossfade,Busheye
Crossfade,Candevil
Crossfade,Capricorpse
Crossfade,Carniviper
Crossfade,Cat-5
Crossfade,Charlequin
Crossfade,Clocksley
Crossfade,Cluckabilly
Crossfade,Coaldron
Crossfade,Cryoshear
Crossfade,Dandylion
Crossfade,Decibelle
Crossfade,Diveal
Crossfade,Diveberg
Crossfade,Djinn Entonic
Crossfade,Dominoth
Crossfade,Draculeaf
Crossfade,Elfless
Crossfade,Faerious
Crossfade,Faucetear
Crossfade,Ferriclaw
Crossfade,Flapwoods
Crossfade,Folklord
Crossfade,Fortiwinx
Crossfade,Fountess
Crossfade,Fragliacci
Crossfade,Frillypad
Crossfade,Fungogh
Crossfade,Galagor
Crossfade,Gearyu
Crossfade,Glaistain
Crossfade,Grampus
Crossfade,Gumbaal
Crossfade,Hauntome
Crossfade,Hedgeherne
Crossfade,Hopskin
Crossfade,Huntorch
Crossfade,Icepeck
Crossfade,Jellyton
Crossfade,Jormungold
Crossfade,Jumpkin
Crossfade,Khepri
Crossfade,Khufo
Crossfade,Kingrave
Crossfade,Kirikuri
Crossfade,Kittelly
Crossfade,Kuneko
Crossfade,Lapacitor
Crossfade,Liligator
Crossfade,Littlered
Crossfade,Lobstacle
Crossfade,Macabra
Crossfade,Magikrab
Crossfade,Majortom
Crossfade,Malchemy
Crossfade,Manispear
Crossfade,Mardiusa
Crossfade,Mascotorn
Crossfade,Mascotoy
Crossfade,Masquerattle
Crossfade,Miasmodeus
Crossfade,Minortom
Crossfade,Miss Mimic
Crossfade,Mothmanic
Crossfade,Muskrateer
Crossfade,Nevermort
Crossfade,Padpole
Crossfade,Palangolin
Crossfade,Pawndead
Crossfade,Picksie
Crossfade,Pinbolt
Crossfade,Plasmantler
Crossfade,Pombomb
Crossfade,Pondwalker
Crossfade,Puppercut
Crossfade,Pyromeleon
Crossfade,Queenyx
Crossfade,Ramtasm
Crossfade,Ratcousel
Crossfade,Regensea
Crossfade,Ripterra
Crossfade,Robindam
Crossfade,Rockertrice
Crossfade,Rosehood
Crossfade,Salamagus
Crossfade,Sanzatime
Crossfade,Scampire
Crossfade,Scarleteeth
Crossfade,Scubalrus
Crossfade,Sharktanker
Crossfade,Shining Kuneko
Crossfade,Sirenade
Crossfade,Skelevangelist
Crossfade,Smogmagog
Crossfade,Snoopin
Crossfade,Southpaw
Crossfade,Sparktan
Crossfade,Spirouette
Crossfade,Spitzfyre
Crossfade,Spooki-onna
Crossfade,Springheel
Crossfade,Squirey
Crossfade,Stardigrade
Crossfade,Terracooka
Crossfade,Thwackalope
Crossfade,Tokusect
Crossfade,Traffikrab
Crossfade,Trapwurm
Crossfade,Triphinx
Crossfade,Twirligig
Crossfade,Umbrahella
Crossfade,Undyin
Crossfade,Velocirifle
Crossfade,Vendemon
Crossfade,Weevilite
Crossfade,Wingloom
Crossfade,Wooltergeist
Crossfade,Wyrmaw
Crossfade,Zeustrike
Crossfade,Zombleat
Crumble,Aeroboros
Crumble,Averevoir
Crumble,Burnace
Crumble,Capricorpse
Crumble,Coaldron
Crumble,Cryoshear
Crumble,Diveberg
Crumble,Fortiwinx
Crumble,Icepeck
Crumble,Khepri
Crumble,Kingrave
Crumble,Lobstacle
Crumble,Pawndead
Crumble,Picksie
Crumble,Queenyx
Crumble,Sanzatime
Crumble,Skelevangelist
Crumble,Smogmagog
Crumble,Sparktan
Crumble,Spooki-onna
Crumble,Terracooka
Crumble,Trapwurm
Crumble,Umbrahella
Crumble,Wyrmaw
Crumble,Zeustrike
Crumble,Zombleat
Crystal Lens,Cryoshear
Crystal Lens,Diveberg
Crystal Lens,Elfless
Crystal Lens,Faerious
Crystal Lens,Fortiwinx
Crystal Lens,Glaistain
Crystal Lens,Grampus
Crystal Lens,Hauntome
Crystal Lens,Icepeck
Crystal Lens,Picksie
Crystal Lens,Pondwalker
Crystal Lens,Sanzatime
Crystal Lens,Sharktanker
Crystal Lens,Spooki-onna
Custom Starter,Adeptile
Custom Starter,Aeroboros
Custom Starter,Allseer
Custom Starter,Amphare
Custom Starter,Anathema
Custom Starter,Apocrowlypse
Custom Starter,Arkidd
Custom Starter,Artillerex
Custom Starter,Auriclaw
Custom Starter,Averevoir
Custom Starter,Bansheep
Custom Starter,Beanstalker
Custom Starter,Binterloper
Custom Starter,Binvader
Custom Starter,Blossomaw
Custom Starter,Blunderbusk
Custom Starter,Boltam
Custom Starter,Braxsuit
Custom Starter,Brushroom
Custom Starter,Bulletino
Custom Starter,Burnace
Custom Starter,Busheye
Custom Starter,Candevil
Custom Starter,Capricorpse
Custom Starter,Carniviper
Custom Starter,Cat-5
Custom Starter,Charlequin
Custom Starter,Clocksley
Custom Starter,Cluckabilly
Custom Starter,Coaldron
Custom Starter,Cryoshear
Custom Starter,Dandylion
Custom Starter,Decibelle
Custom Starter,Diveal
Custom Starter,Diveberg
Custom Starter,Djinn Entonic
Custom Starter,Dominoth
Custom Starter,Draculeaf
Custom Starter,Elfless
Custom Starter,Faerious
Custom Starter,Faucetear
Custom Starter,Ferriclaw
Custom Starter,Flapwoods
Custom Starter,Folklord
Custom Starter,Fortiwinx
Custom Starter,Fountess
Custom Starter,Fragliacci
Custom Starter,Frillypad
Custom Starter,Fungogh
Custom Starter,Galagor
Custom Starter,Gearyu
Custom Starter,Glaistain
Custom Starter,Grampus
Custom Starter,Gumbaal
Custom Starter,Hauntome
Custom Starter,Hedgeherne
Custom Starter,Hopskin
Custom Starter,Huntorch
Custom Starter,Icepeck
Custom Starter,Jellyton
Custom Starter,Jormungold
Custom Starter,Jumpkin
Custom Starter,Khepri
Custom Starter,Khufo
Custom Starter,Kingrave
Custom Starter,Kirikuri
Custom Starter,Kittelly
Custom Starter,Kuneko
Custom Starter,Lapacitor
Custom Starter,Liligator
Custom Starter,Littlered
Custom Starter,Lobstacle
Custom Starter,Macabra
Custom Starter,Magikrab
Custom Starter,Majortom
Custom Starter,Malchemy
Custom Starter,Manispear
Custom Starter,Mardiusa
Custom Starter,Mascotorn
Custom Starter,Mascotoy
Custom Starter,Masquerattle
Custom Starter,Miasmodeus
Custom Starter,Minortom
Custom Starter,Miss Mimic
Custom Starter,Mothmanic
Custom Starter,Muskrateer
Custom Starter,Nevermort
Custom Starter,Padpole
Custom Starter,Palangolin
Custom Starter,Pawndead
Custom Starter,Picksie
Custom Starter,Pinbolt
Custom Starter,Plasmantler
Custom Starter,Pombomb
Custom Starter,Pondwalker
Custom Starter,Puppercut
Custom Starter,Pyromeleon
Custom Starter,Queenyx
Custom Starter,Ramtasm
Custom Starter,Ratcousel
Custom Starter,Regensea
Custom Starter,Ripterra
Custom Starter,Robindam
Custom Starter,Rockertrice
Custom Starter,Rosehood
Custom Starter,Salamagus
Custom Starter,Sanzatime
Custom Starter,Scampire
Custom Starter,Scarleteeth
Custom Starter,Scubalrus
Custom Starter,Sharktanker
Custom Starter,Shining Kuneko
Custom Starter,Sirenade
Custom Starter,Skelevangelist
Custom Starter,Smogmagog
Custom Starter,Snoopin
Custom Starter,Southpaw
Custom Starter,Sparktan
Custom Starter,Spirouette
Custom Starter,Spitzfyre
Custom Starter,Spooki-onna
Custom Starter,Springheel
Custom Starter,Squirey
Custom Starter,Stardigrade
Custom Starter,Terracooka
Custom Starter,Thwackalope
Custom Starter,Tokusect
Custom Starter,Traffikrab
Custom Starter,Trapwurm
Custom Starter,Triphinx
Custom Starter,Twirligig
Custom Starter,Umbrahella
Custom Starter,Undyin
Custom Starter,Velocirifle
Custom Starter,Vendemon
Custom Starter,Weevilite
Custom Starter,Wingloom
Custom Starter,Wooltergeist
Custom Starter,Wyrmaw
Custom Starter,Zeustrike
Custom Starter,Zombleat
Damage Roll,Adeptile
Damage Roll,Aeroboros
Damage Roll,Allseer
Damage Roll,Apocrowlypse
Damage Roll,Blunderbusk
Damage Roll,Brushroom
Damage Roll,Candevil
Damage Roll,Charlequin
Damage Roll,Cluckabilly
Damage Roll,Decibelle
Damage Roll,Elfless
Damage Roll,Faerious
Damage Roll,Fragliacci
Damage Roll,Fungogh
Damage Roll,Grampus
Damage Roll,Gumbaal
Damage Roll,Hauntome
Damage Roll,Jormungold
Damage Roll,Khufo
Damage Roll,Kingrave
Damage Roll,Kuneko
Damage Roll,Malchemy
Damage Roll,Mardiusa
Damage Roll,Masquerattle
Damage Roll,Miasmodeus
Damage Roll,Muskrateer
Damage Roll,Nevermort
Damage Roll,Pawndead
Damage Roll,Picksie
Damage Roll,Pinbolt
Damage Roll,Pombomb
Damage Roll,Pyromeleon
Damage Roll,Queenyx
Damage Roll,Ratcousel
Damage Roll,Rockertrice
Damage Roll,Salamagus
Damage Roll,Shining Kuneko
Damage Roll,Sirenade
Damage Roll,Skelevangelist
Damage Roll,Sparktan
Damage Roll,Spitzfyre
Damage Roll,Triphinx
Damage Roll,Vendemon
Damage Roll,Zeustrike
Deep Freeze,Cryoshear
Deep Freeze,Diveal
Deep Freeze,Diveberg
Deep Freeze,Elfless
Deep Freeze,Faerious
Deep Freeze,Faucetear
Deep Freeze,Fountess
Deep Freeze,Grampus
Deep Freeze,Icepeck
Deep Freeze,Scubalrus
Deep Freeze,Sparktan
Deep Freeze,Spooki-onna
Deep Freeze,Undyin
Deep Freeze,Zeustrike
Defend,Adeptile
Defend,Aeroboros
Defend,Allseer
Defend,Amphare
Defend,Anathema
Defend,Apocrowlypse
Defend,Arkidd
Defend,Artillerex
Defend,Auriclaw
Defend,Averevoir
Defend,Bansheep
Defend,Beanstalker
Defend,Binterloper
Defend,Binvader
Defend,Blossomaw
Defend,Blunderbusk
Defend,Boltam
Defend,Braxsuit
Defend,Brushroom
Defend,Bulletino
Defend,Burnace
Defend,Busheye
Defend,Candevil
Defend,Capricorpse
Defend,Carniviper
Defend,Cat-5
Defend,Charlequin
Defend,Clocksley
Defend,Cluckabilly
Defend,Coaldron
Defend,Cryoshear
Defend,Dandylion
Defend,Decibelle
Defend,Diveal
Defend,Diveberg
Defend,Djinn Entonic
Defend,Dominoth
Defend,Draculeaf
Defend,Elfless
Defend,Faerious
Defend,Faucetear
Defend,Ferriclaw
Defend,Flapwoods
Defend,Folklord
Defend,Fortiwinx
Defend,Fountess
Defend,Fragliacci
Defend,Frillypad
Defend,Fungogh
Defend,Galagor
Defend,Gearyu
Defend,Glaistain
Defend,Grampus
Defend,Gumbaal
Defend,Hauntome
Defend,Hedgeherne
Defend,Hopskin
Defend,Huntorch
Defend,Icepeck
Defend,Jellyton
Defend,Jormungold
Defend,Jumpkin
Defend,Khepri
Defend,Khufo
Defend,Kingrave
Defend,Kirikuri
Defend,Kittelly
Defend,Kuneko
Defend,Lapacitor
Defend,Liligator
Defend,Littlered
Defend,Lobstacle
Defend,Macabra
Defend,Magikrab
Defend,Majortom
Defend,Malchemy
Defend,Manispear
Defend,Mardiusa
Defend,Mascotorn
Defend,Mascotoy
Defend,Masquerattle
Defend,Miasmodeus
Defend,Minortom
Defend,Miss Mimic
Defend,Mothmanic
Defend,Muskrateer
Defend,Nevermort
Defend,Padpole
Defend,Palangolin
Defend,Pawndead
Defend,Picksie
Defend,Pinbolt
Defend,Plasmantler
Defend,Pombomb
Defend,Pondwalker
Defend,Puppercut
Defend,Pyromeleon
Defend,Queenyx
Defend,Ramtasm
Defend,Ratcousel
Defend,Regensea
Defend,Ripterra
Defend,Robindam
Defend,Rockertrice
Defend,Rosehood
Defend,Salamagus
Defend,Sanzatime
Defend,Scampire
Defend,Scarleteeth
Defend,Scubalrus
Defend,Sharktanker
Defend,Shining Kuneko
Defend,Sirenade
Defend,Skelevangelist
Defend,Smogmagog
Defend,Snoopin
Defend,Southpaw
Defend,Sparktan
Defend,Spirouette
Defend,Spitzfyre
Defend,Spooki-onna
Defend,Springheel
Defend,Squirey
Defend,Stardigrade
Defend,Terracooka
Defend,Thwackalope
Defend,Tokusect
Defend,Traffikrab
Defend,Trapwurm
Defend,Triphinx
Defend,Twirligig
Defend,Umbrahella
Defend,Undyin
Defend,Velocirifle
Defend,Vendemon
Defend,Weevilite
Defend,Wingloom
Defend,Wooltergeist
Defend,Wyrmaw
Defend,Zeustrike
Defend,Zombleat
Déjà Vu,Adeptile
Déjà Vu,Aeroboros
Déjà Vu,Allseer
Déjà Vu,Apocrowlypse
Déjà Vu,Arkidd
Déjà Vu,Artillerex
Déjà Vu,Auriclaw
Déjà Vu,Beanstalker
Déjà Vu,Blunderbusk
Déjà Vu,Boltam
Déjà Vu,Braxsuit
Déjà Vu,Bulletino
Déjà Vu,Candevil
Déjà Vu,Cat-5
Déjà Vu,Charlequin
Déjà Vu,Cryoshear
Déjà Vu,Decibelle
Déjà Vu,Djinn Entonic
Déjà Vu,Draculeaf
Déjà Vu,Elfless
Déjà Vu,Faerious
Déjà Vu,Ferriclaw
Déjà Vu,Flapwoods
Déjà Vu,Folklord
Déjà Vu,Fortiwinx
Déjà Vu,Fragliacci
Déjà Vu,Frillypad
Déjà Vu,Fungogh
Déjà Vu,Galagor
Déjà Vu,Glaistain
Déjà Vu,Grampus
Déjà Vu,Gumbaal
Déjà Vu,Hauntome
Déjà Vu,Hopskin
Déjà Vu,Icepeck
Déjà Vu,Jellyton
Déjà Vu,Jormungold
Déjà Vu,Jumpkin
Déjà Vu,Khufo
Déjà Vu,Kirikuri
Déjà Vu,Kuneko
Déjà Vu,Liligator
Déjà Vu,Magikrab
Déjà Vu,Majortom
Déjà Vu,Malchemy
Déjà Vu,Manispear
Déjà Vu,Mardiusa
Déjà Vu,Mascotorn
Déjà Vu,Masquerattle
Déjà Vu,Miasmodeus
Déjà Vu,Miss Mimic
Déjà Vu,Mothmanic
Déjà Vu,Muskrateer
Déjà Vu,Nevermort
Déjà Vu,Padpole
Déjà Vu,Palangolin
Déjà Vu,Picksie
Déjà Vu,Pinbolt
Déjà Vu,Plasmantler
Déjà Vu,Puppercut
Déjà Vu,Pyromeleon
Déjà Vu,Queenyx
Déjà Vu,Ramtasm
Déjà Vu,Ratcousel
Déjà Vu,Regensea
Déjà Vu,Ripterra
Déjà Vu,Rosehood
Déjà Vu,Salamagus
Déjà Vu,Scampire
Déjà Vu,Shining Kuneko
Déjà Vu,Sirenade
Déjà Vu,Snoopin
Déjà Vu,Southpaw
Déjà Vu,Sparktan
Déjà Vu,Spirouette
Déjà Vu,Spooki-onna
Déjà Vu,Springheel
Déjà Vu,Squirey
Déjà Vu,Stardigrade
Déjà Vu,Thwackalope
Déjà Vu,Tokusect
Déjà Vu,Triphinx
Déjà Vu,Velocirifle
Déjà Vu,Vendemon
Déjà Vu,Weevilite
Déjà Vu,Wooltergeist
Déjà Vu,Zeustrike
Delegate,Adeptile
Delegate,Aeroboros
Delegate,Allseer
Delegate,Amphare
Delegate,Anathema
Delegate,Apocrowlypse
Delegate,Arkidd
Delegate,Artillerex
Delegate,Auriclaw
Delegate,Averevoir
Delegate,Bansheep
Delegate,Beanstalker
Delegate,Binterloper
Delegate,Binvader
Delegate,Blossomaw
Delegate,Blunderbusk
Delegate,Boltam
Delegate,Braxsuit
Delegate,Brushroom
Delegate,Bulletino
Delegate,Burnace
Delegate,Busheye
Delegate,Candevil
Delegate,Capricorpse
Delegate,Carniviper
Delegate,Cat-5
Delegate,Charlequin
Delegate,Clocksley
Delegate,Cluckabilly
Delegate,Coaldron
Delegate,Cryoshear
Delegate,Dandylion
Delegate,Decibelle
Delegate,Diveal
Delegate,Diveberg
Delegate,Djinn Entonic
Delegate,Dominoth
Delegate,Draculeaf
Delegate,Elfless
Delegate,Faerious
Delegate,Faucetear
Delegate,Ferriclaw
Delegate,Flapwoods
Delegate,Folklord
Delegate,Fortiwinx
Delegate,Fountess
Delegate,Fragliacci
Delegate,Frillypad
Delegate,Fungogh
Delegate,Galagor
Delegate,Gearyu
Delegate,Glaistain
Delegate,Grampus
Delegate,Gumbaal
Delegate,Hauntome
Delegate,Hedgeherne
Delegate,Hopskin
Delegate,Huntorch
Delegate,Icepeck
Delegate,Jellyton
Delegate,Jormungold
Delegate,Jumpkin
Delegate,Khepri
Delegate,Khufo
Delegate,Kingrave
Delegate,Kirikuri
Delegate,Kittelly
Delegate,Kuneko
Delegate,Lapacitor
Delegate,Liligator
Delegate,Littlered
Delegate,Lobstacle
Delegate,Macabra
Delegate,Magikrab
Delegate,Majortom
Delegate,Malchemy
Delegate,Manispear
Delegate,Mardiusa
Delegate,Mascotorn
Delegate,Mascotoy
Delegate,Masquerattle
Delegate,Miasmodeus
Delegate,Minortom
Delegate,Miss Mimic
Delegate,Mothmanic
Delegate,Muskrateer
Delegate,Nevermort
Delegate,Padpole
Delegate,Palangolin
Delegate,Pawndead
Delegate,Picksie
Delegate,Pinbolt
Delegate,Plasmantler
Delegate,Pombomb
Delegate,Pondwalker
Delegate,Puppercut
Delegate,Pyromeleon
Delegate,Queenyx
Delegate,Ramtasm
Delegate,Ratcousel
Delegate,Regensea
Delegate,Ripterra
Delegate,Robindam
Delegate,Rockertrice
Delegate,Rosehood
Delegate,Salamagus
Delegate,Sanzatime
Delegate,Scampire
Delegate,Scarleteeth
Delegate,Scubalrus
Delegate,Sharktanker
Delegate,Shining Kuneko
Delegate,Sirenade
Delegate,Skelevangelist
Delegate,Smogmagog
Delegate,Snoopin
Delegate,Southpaw
Delegate,Sparktan
Delegate,Spirouette
Delegate,Spitzfyre
Delegate,Spooki-onna
Delegate,Springheel
Delegate,Squirey
Delegate,Stardigrade
Delegate,Terracooka
Delegate,Thwackalope
Delegate,Tokusect
Delegate,Traffikrab
Delegate,Trapwurm
Delegate,Triphinx
Delegate,Twirligig
Delegate,Umbrahella
Delegate,Undyin
Delegate,Velocirifle
Delegate,Vendemon
Delegate,Weevilite
Delegate,Wingloom
Delegate,Wooltergeist
Delegate,Wyrmaw
Delegate,Zeustrike
Delegate,Zombleat
Desperation,Adeptile
Desperation,Aeroboros
Desperation,Allseer
Desperation,Amphare
Desperation,Anathema
Desperation,Apocrowlypse
Desperation,Arkidd
Desperation,Artillerex
Desperation,Auriclaw
Desperation,Averevoir
Desperation,Bansheep
Desperation,Beanstalker
Desperation,Binterloper
Desperation,Binvader
Desperation,Blossomaw
Desperation,Blunderbusk
Desperation,Boltam
Desperation,Braxsuit
Desperation,Brushroom
Desperation,Bulletino
Desperation,Burnace
Desperation,Busheye
Desperation,Candevil
Desperation,Capricorpse
Desperation,Carniviper
Desperation,Cat-5
Desperation,Charlequin
Desperation,Clocksley
Desperation,Cluckabilly
Desperation,Coaldron
Desperation,Cryoshear
Desperation,Dandylion
Desperation,Decibelle
Desperation,Diveal
Desperation,Diveberg
Desperation,Djinn Entonic
Desperation,Dominoth
Desperation,Draculeaf
Desperation,Elfless
Desperation,Faerious
Desperation,Faucetear
Desperation,Ferriclaw
Desperation,Flapwoods
Desperation,Folklord
Desperation,Fortiwinx
Desperation,Fountess
Desperation,Fragliacci
Desperation,Frillypad
Desperation,Fungogh
Desperation,Galagor
Desperation,Gearyu
Desperation,Glaistain
Desperation,Grampus
Desperation,Gumbaal
Desperation,Hauntome
Desperation,Hedgeherne
Desperation,Hopskin
Desperation,Huntorch
Desperation,Icepeck
Desperation,Jellyton
Desperation,Jormungold
Desperation,Jumpkin
Desperation,Khepri
Desperation,Khufo
Desperation,Kingrave
Desperation,Kirikuri
Desperation,Kittelly
Desperation,Kuneko
Desperation,Lapacitor
Desperation,Liligator
Desperation,Littlered
Desperation,Lobstacle
Desperation,Macabra
Desperation,Magikrab
Desperation,Majortom
Desperation,Malchemy
Desperation,Manispear
Desperation,Mardiusa
Desperation,Mascotorn
Desperation,Mascotoy
Desperation,Masquerattle
Desperation,Miasmodeus
Desperation,Minortom
Desperation,Miss Mimic
Desperation,Mothmanic
Desperation,Muskrateer
Desperation,Nevermort
Desperation,Padpole
Desperation,Palangolin
Desperation,Pawndead
Desperation,Picksie
Desperation,Pinbolt
Desperation,Plasmantler
Desperation,Pombomb
Desperation,Pondwalker
Desperation,Puppercut
Desperation,Pyromeleon
Desperation,Queenyx
Desperation,Ramtasm
Desperation,Ratcousel
Desperation,Regensea
Desperation,Ripterra
Desperation,Robindam
Desperation,Rockertrice
Desperation,Rosehood
Desperation,Salamagus
Desperation,Sanzatime
Desperation,Scampire
Desperation,Scarleteeth
Desperation,Scubalrus
Desperation,Sharktanker
Desperation,Shining Kuneko
Desperation,Sirenade
Desperation,Skelevangelist
Desperation,Smogmagog
Desperation,Snoopin
Desperation,Southpaw
Desperation,Sparktan
Desperation,Spirouette
Desperation,Spitzfyre
Desperation,Spooki-onna
Desperation,Springheel
Desperation,Squirey
Desperation,Stardigrade
Desperation,Terracooka
Desperation,Thwackalope
Desperation,Tokusect
Desperation,Traffikrab
Desperation,Trapwurm
Desperation,Triphinx
Desperation,Twirligig
Desperation,Umbrahella
Desperation,Undyin
Desperation,Velocirifle
Desperation,Vendemon
Desperation,Weevilite
Desperation,Wingloom
Desperation,Wooltergeist
Desperation,Wyrmaw
Desperation,Zeustrike
Desperation,Zombleat
Djinntoxicate,Djinn Entonic
Doc Leaf,Adeptile
Doc Leaf,Aeroboros
Doc Leaf,Bansheep
Doc Leaf,Beanstalker
Doc Leaf,Blossomaw
Doc Leaf,Brushroom
Doc Leaf,Busheye
Doc Leaf,Capricorpse
Doc Leaf,Dandylion
Doc Leaf,Decibelle
Doc Leaf,Draculeaf
Doc Leaf,Frillypad
Doc Leaf,Fungogh
Doc Leaf,Hauntome
Doc Leaf,Hedgeherne
Doc Leaf,Huntorch
Doc Leaf,Jumpkin
Doc Leaf,Kirikuri
Doc Leaf,Liligator
Doc Leaf,Padpole
Doc Leaf,Pyromeleon
Doc Leaf,Ramtasm
Doc Leaf,Rosehood
Doc Leaf,Salamagus
Doc Leaf,Sirenade
Doc Leaf,Twirligig
Doc Leaf,Wooltergeist
Doc Leaf,Zombleat
Dodge,Adeptile
Dodge,Aeroboros
Dodge,Allseer
Dodge,Amphare
Dodge,Anathema
Dodge,Apocrowlypse
Dodge,Arkidd
Dodge,Artillerex
Dodge,Auriclaw
Dodge,Averevoir
Dodge,Bansheep
Dodge,Beanstalker
Dodge,Binterloper
Dodge,Binvader
Dodge,Blossomaw
Dodge,Blunderbusk
Dodge,Boltam
Dodge,Braxsuit
Dodge,Brushroom
Dodge,Bulletino
Dodge,Burnace
Dodge,Busheye
Dodge,Candevil
Dodge,Capricorpse
Dodge,Carniviper
Dodge,Cat-5
Dodge,Charlequin
Dodge,Clocksley
Dodge,Cluckabilly
Dodge,Coaldron
Dodge,Cryoshear
Dodge,Dandylion
Dodge,Decibelle
Dodge,Diveal
Dodge,Diveberg
Dodge,Djinn Entonic
Dodge,Dominoth
Dodge,Draculeaf
Dodge,Elfless
Dodge,Faerious
Dodge,Faucetear
Dodge,Ferriclaw
Dodge,Flapwoods
Dodge,Folklord
Dodge,Fortiwinx
Dodge,Fountess
Dodge,Fragliacci
Dodge,Frillypad
Dodge,Fungogh
Dodge,Galagor
Dodge,Gearyu
Dodge,Glaistain
Dodge,Grampus
Dodge,Gumbaal
Dodge,Hauntome
Dodge,Hedgeherne
Dodge,Hopskin
Dodge,Huntorch
Dodge,Icepeck
Dodge,Jellyton
